SGG_2,후보자,공천_유형
서울특별시 종로,이낙연,전략 공천
서울특별시 중성동갑,홍익표,단수 공천
서울특별시 중성동을,박성준,전략 공천
서울특별시 용산,강태웅,전략 공천
서울특별시 광진갑,전혜숙,단수 공천
서울특별시 광진을,고민정,전략 공천
서울특별시 동대문갑,안규백,단수 공천
서울특별시 동대문을,장경태,청년 경선 공천
서울특별시 중랑갑,서영교,경선 공천
서울특별시 중랑을,박홍근,단수 공천
서울특별시 성북갑,김영배,경선 공천
서울특별시 성북을,기동민,단수 공천
서울특별시 강북갑,천준호,경선 공천
서울특별시 강북을,박용진,단수 공천
서울특별시 도봉갑,인재근,단수 공천
서울특별시 도봉을,오기형,경선 공천
서울특별시 노원갑,고용진,경선 공천
서울특별시 노원을,우원식,단수 공천
서울특별시 노원병,김성환,단수 공천
서울특별시 은평갑,박주민,단수 공천
서울특별시 은평을,강병원,경선 공천
서울특별시 서대문갑,우상호,단수 공천
서울특별시 서대문을,김영호,단수 공천
서울특별시 마포갑,노웅래,경선 공천
서울특별시 마포을,정청래,단수 공천
서울특별시 양천갑,황희,단수 공천
서울특별시 양천을,이용선,단수 공천
서울특별시 강서갑,강선우,경선 공천
서울특별시 강서을,진성준,단수 공천
서울특별시 강서병,한정애,단수 공천
서울특별시 구로갑,이인영,단수 공천
서울특별시 구로을,윤건영,전략 공천
서울특별시 금천,최기상,전략 공천
서울특별시 영등포갑,김영주,단수 공천
서울특별시 영등포을,김민석,경선 공천
서울특별시 동작갑,김병기,경선 공천
서울특별시 동작을,이수진,전략 공천
서울특별시 관악갑,유기홍,경선 공천
서울특별시 관악을,정태호,경선 공천
서울특별시 서초갑,이정근,단수 공천
서울특별시 서초을,박경미,경선 공천
서울특별시 강남갑,김성곤,단수 공천
서울특별시 강남을,전현희,단수 공천
서울특별시 강남병,김한규,전략 공천
서울특별시 송파갑,조재희,경선 공천
서울특별시 송파을,최재성,단수 공천
서울특별시 송파병,남인순,단수 공천
서울특별시 강동갑,진선미,단수 공천
서울특별시 강동을,이해식,경선 공천
부산광역시 중영도,김비오,경선 공천
부산광역시 서동,이재강,경선 공천
부산광역시 부산진갑,김영춘,단수 공천
부산광역시 부산진을,류영진,경선 공천
부산광역시 동래,박성현,단수 공천
부산광역시 남갑,강준석,전략 공천
부산광역시 남을,박재호,단수 공천
