연도,조사기간,정당,지지율
2006,1월 1주차,열린우리당,25.6
2006,1월 1주차,한나라당,42.2
2006,1월 1주차,민주당,6.3
2006,1월 1주차,민주노동당,7.6
2006,1월 1주차,자유민주연합,0.9
2006,1월 1주차,기타·무당층,17.4
2006,1월 2주차,열린우리당,24.6
2006,1월 2주차,한나라당,43.4
2006,1월 2주차,민주당,6
2006,1월 2주차,민주노동당,6.6
2006,1월 2주차,자유민주연합,19.4
2006,1월 2주차,기타·무당층,NA
2006,1월 3주차,열린우리당,23.6
2006,1월 3주차,한나라당,43.2
2006,1월 3주차,민주당,6.9
2006,1월 3주차,민주노동당,8.8
2006,1월 3주차,국민중심당,1.4
2006,1월 3주차,기타·무당층,16.2
2006,1월 4주차,열린우리당,27
2006,1월 4주차,한나라당,41
2006,1월 4주차,민주당,6.5
2006,1월 4주차,민주노동당,7.4
2006,1월 4주차,국민중심당,2
2006,1월 4주차,기타·무당층,16.1
2006,2월 1주차,열린우리당,26.2
2006,2월 1주차,한나라당,41.9
2006,2월 1주차,민주당,6.6
2006,2월 1주차,민주노동당,6.7
2006,2월 1주차,국민중심당,1.4
2006,2월 1주차,기타·무당층,17.2
2006,2월 3주차,열린우리당,25.2
2006,2월 3주차,한나라당,42.4
2006,2월 3주차,민주당,6.3
2006,2월 3주차,민주노동당,7.2
2006,2월 3주차,국민중심당,1.9
2006,2월 3주차,기타·무당층,17
2006,2월 4주차,열린우리당,25.1
2006,2월 4주차,한나라당,45.5
2006,2월 4주차,민주당,6.8
2006,2월 4주차,민주노동당,7.9
2006,2월 4주차,국민중심당,1.7
2006,2월 4주차,기타·무당층,13
2006,3월 1주차,열린우리당,26.1
2006,3월 1주차,한나라당,41.8
2006,3월 1주차,민주당,7.6
2006,3월 1주차,민주노동당,7.3
2006,3월 1주차,국민중심당,1.9
2006,3월 1주차,기타·무당층,15.3
2006,3월 2주차,열린우리당,25.9
2006,3월 2주차,한나라당,42.6
2006,3월 2주차,민주당,7.1
2006,3월 2주차,민주노동당,7.3
2006,3월 2주차,국민중심당,2.1
2006,3월 2주차,기타·무당층,15
2006,3월 3주차,열린우리당,25.1
2006,3월 3주차,한나라당,41.4
2006,3월 3주차,민주당,6.6
2006,3월 3주차,민주노동당,8.4
2006,3월 3주차,국민중심당,1.8
2006,3월 3주차,기타·무당층,16.7
2006,3월 4주차,열린우리당,27
2006,3월 4주차,한나라당,41.9
2006,3월 4주차,민주당,6.4
2006,3월 4주차,민주노동당,5.9
2006,3월 4주차,국민중심당,1.7
2006,3월 4주차,기타·무당층,17.1
2006,3월 5주차,열린우리당,25.2
2006,3월 5주차,한나라당,41.7
2006,3월 5주차,민주당,7.3
2006,3월 5주차,민주노동당,8.9
2006,3월 5주차,국민중심당,1.9
2006,3월 5주차,기타·무당층,15
2006,4월 1주차,열린우리당,25.5
2006,4월 1주차,한나라당,41.8
2006,4월 1주차,민주당,6.9
2006,4월 1주차,민주노동당,12.6
2006,4월 1주차,국민중심당,1.4
2006,4월 1주차,기타·무당층,11.8
2006,4월 2주차,열린우리당,27.9
2006,4월 2주차,한나라당,43.4
2006,4월 2주차,민주당,6.5
2006,4월 2주차,민주노동당,7.1
2006,4월 2주차,국민중심당,2
2006,4월 2주차,기타·무당층,13.1
2006,4월 3주차,열린우리당,24.8
2006,4월 3주차,한나라당,43.8
2006,4월 3주차,민주당,7.6
2006,4월 3주차,민주노동당,6.4
2006,4월 3주차,국민중심당,2.1
2006,4월 3주차,기타·무당층,15.3
2006,4월 4주차,열린우리당,22.5
2006,4월 4주차,한나라당,45
2006,4월 4주차,민주당,7.1
2006,4월 4주차,민주노동당,7.3
2006,4월 4주차,국민중심당,1.6
2006,4월 4주차,기타·무당층,16.5
2006,5월 4주차,열린우리당,20.4
2006,5월 4주차,한나라당,48
2006,5월 4주차,민주당,6
2006,5월 4주차,민주노동당,6.2
2006,5월 4주차,국민중심당,1.7
2006,5월 4주차,기타·무당층,17.7
2006,5월 5주차,열린우리당,21.1
2006,5월 5주차,한나라당,49.4
2006,5월 5주차,민주당,5.4
2006,5월 5주차,민주노동당,11.4
2006,5월 5주차,국민중심당,1.8
2006,5월 5주차,기타·무당층,10.9
2006,6월 4주차,열린우리당,21.9
2006,6월 4주차,한나라당,45.9
2006,6월 4주차,민주당,8
2006,6월 4주차,민주노동당,9.4
2006,6월 4주차,국민중심당,2.2
2006,6월 4주차,기타·무당층,12.6
2006,6월 5주차,열린우리당,21.8
2006,6월 5주차,한나라당,46.6
2006,6월 5주차,민주당,7.3
2006,6월 5주차,민주노동당,8.6
2006,6월 5주차,국민중심당,1.9
2006,6월 5주차,기타·무당층,13.8
2006,7월 1주차,열린우리당,21.5
2006,7월 1주차,한나라당,44.8
2006,7월 1주차,민주당,7.1
2006,7월 1주차,민주노동당,8.4
2006,7월 1주차,국민중심당,0.8
2006,7월 1주차,기타·무당층,17.4
2006,7월 2주차,열린우리당,20.5
2006,7월 2주차,한나라당,49.6
2006,7월 2주차,민주당,6.4
2006,7월 2주차,민주노동당,8.6
2006,7월 2주차,국민중심당,1.9
2006,7월 2주차,기타·무당층,13
2006,7월 3주차,열린우리당,21.8
2006,7월 3주차,한나라당,45.2
2006,7월 3주차,민주당,6.6
2006,7월 3주차,민주노동당,8
2006,7월 3주차,국민중심당,2
2006,7월 3주차,기타·무당층,16.4
2006,7월 4주차,열린우리당,23.5
2006,7월 4주차,한나라당,43.5
2006,7월 4주차,민주당,8.4
2006,7월 4주차,민주노동당,9.7
2006,7월 4주차,국민중심당,1.7
2006,7월 4주차,기타·무당층,13.2
2006,8월 1주차,열린우리당,22.3
2006,8월 1주차,한나라당,46.1
2006,8월 1주차,민주당,8.6
2006,8월 1주차,민주노동당,6.2
2006,8월 1주차,국민중심당,1.3
2006,8월 1주차,기타·무당층,15.5
2006,8월 2주차,열린우리당,21.2
2006,8월 2주차,한나라당,46.1
2006,8월 2주차,민주당,8
2006,8월 2주차,민주노동당,7.9
2006,8월 2주차,국민중심당,1.6
2006,8월 2주차,기타·무당층,15.2
2006,8월 4주차,열린우리당,20.9
2006,8월 4주차,한나라당,45.4
2006,8월 4주차,민주당,7.7
2006,8월 4주차,민주노동당,7.7
2006,8월 4주차,국민중심당,1.8
2006,8월 4주차,기타·무당층,16.5
2006,8월 5주차,열린우리당,21.3
2006,8월 5주차,한나라당,46.9
2006,8월 5주차,민주당,6.5
2006,8월 5주차,민주노동당,6.7
2006,8월 5주차,국민중심당,18.6
2006,8월 5주차,기타·무당층,NA
2006,9월 1주차,열린우리당,19.8
2006,9월 1주차,한나라당,47.4
2006,9월 1주차,민주당,7.7
2006,9월 1주차,민주노동당,7.2
2006,9월 1주차,국민중심당,17.9
2006,9월 1주차,기타·무당층,NA
2006,9월 2주차,열린우리당,22
2006,9월 2주차,한나라당,45.1
2006,9월 2주차,민주당,7
2006,9월 2주차,민주노동당,7.8
2006,9월 2주차,국민중심당,18.1
2006,9월 2주차,기타·무당층,NA
