시도명,선거구,인구수,상세
서울특별시,종로구,155433,종로구 전역
서울특별시,중구·성동구 갑,233702,"성동구 왕십리2동, 왕십리·도선동, 마장동, 사근동, 행당1동, 행당2동, 응봉동,성수1가1동, 성수1가2동, 성수2가1동, 성수2가3동, 송정동, 용답동"
서울특별시,중구·성동구 을,200513,"성동구 금호1가동, 금호2·3가동, 금호4가동, 옥수동"
서울특별시,중구·성동구 을,200513,중구 전역
서울특별시,용산구,233898,용산구 전역
서울특별시,광진구 갑,182510,"군자동, 중곡1동, 중곡2동, 중곡3동, 중곡4동, 능동, 광장동, 구의2동"
서울특별시,광진구 을,178375,"화양동, 자양1동, 자양2동, 자양3동, 자양4동, 구의1동, 구의3동"
서울특별시,동대문구 갑,184697,"용신동, 제기동, 청량리동, 회기동, 휘경1동, 휘경2동, 이문1동, 이문2동"
서울특별시,동대문구 을,176446,"전농1동, 전농2동, 답십리1동, 답십리2동, 장안1동, 장안2동"
서울특별시,중랑구 갑,185595,"면목2동, 면목4동, 면목5동, 면목본동, 면목7동, 면목3·8동, 상봉2동, 망우3동"
서울특별시,중랑구 을,229178,"상봉1동, 중화1동, 중화2동, 묵1동, 묵2동, 망우본동, 신내1동, 신내2동"
서울특별시,성북구 갑,242462,"성북동, 삼선동, 동선동, 돈암2동, 안암동, 보문동, 정릉1동, 정릉2동, 정릉3동, 정릉4동, 길음1동"
서울특별시,성북구 을,218926,"돈암1동, 길음2동, 종암동, 월곡1동, 월곡2동, 장위1동, 장위2동, 장위3동, 석관동"
서울특별시,강북구 갑,162525,"번1동, 번2동, 수유1동, 수유2동, 수유3동, 우이동, 인수동"
서울특별시,강북구 을,169336,"삼양동, 미아동, 송중동, 송천동, 삼각산동, 번3동"
서울특별시,도봉구 갑,172010,"창1동, 창2동, 창3동, 창4동, 창5동, 쌍문1동, 쌍문3동"
서울특별시,도봉구 을,180083,"도봉1동, 도봉2동, 쌍문2동, 쌍문4동, 방학1동, 방학2동, 방학3동"
서울특별시,노원구 갑,170332,"월계1동, 월계2동, 월계3동, 공릉1동, 공릉2동"
서울특별시,노원구 을,211809,"하계1동, 하계2동, 중계본동, 중계1동, 중계4동, 중계2·3동, 상계6·7동"
서울특별시,노원구 병,194680,"상계1동, 상계2동, 상계3·4동, 상계5동, 상계8동, 상계9동, 상계10동"
서울특별시,은평구 갑,251887,"녹번동, 응암1동, 응암2동, 응암3동, 역촌동, 신사1동, 신사2동, 증산동, 수색동"
서울특별시,은평구 을,247534,"불광1동, 불광2동, 갈현1동, 갈현2동, 구산동, 대조동, 진관동"
서울특별시,서대문구 갑,146432,"천연동, 북아현동, 충현동, 신촌동, 연희동, 홍제1동, 홍제2동"
서울특별시,서대문구 을,160249,"홍제3동, 홍은1동, 홍은2동, 남가좌1동, 남가좌2동, 북가좌1동, 북가좌2동"
서울특별시,마포구 갑,160340,"아현동, 공덕동, 도화동, 용강동, 대흥동, 염리동, 신수동"
서울특별시,마포구 을,229301,"서강동, 서교동, 합정동, 망원1동, 망원2동, 연남동, 성산1동, 성산2동, 상암동"
서울특별시,양천구 갑,258270,"목1동, 목2동, 목3동, 목4동, 목5동, 신정1동, 신정2동, 신정6동, 신정7동"
서울특별시,양천구 을,226825,"신월1동, 신월2동, 신월3동, 신월4동, 신월5동, 신월6동, 신월7동, 신정3동, 신정4동"
서울특별시,강서구 갑,209612,"발산1동, 우장산동, 화곡1동, 화곡2동, 화곡3동, 화곡8동"
서울특별시,강서구 을,191151,"가양1동, 가양2동, 공항동, 등촌3동, 방화1동, 방화2동, 방화3동"
서울특별시,강서구 병,188746,"가양3동, 등촌1동, 등촌2동, 염창동, 화곡본동, 화곡4동, 화곡6동"
서울특별시,구로구 갑,239529,"고척1동, 고척2동, 개봉1동, 개봉2동, 개봉3동, 오류1동, 오류2동, 수궁동"
서울특별시,구로구 을,183764,"신도림동, 구로1동, 구로2동, 구로3동, 구로4동, 구로5동, 가리봉동"
서울특별시,금천구,237122,금천구 전역
서울특별시,영등포구 갑,205672,"영등포본동, 영등포동, 당산1동, 당산2동, 도림동, 문래동, 양평1동, 양평2동, 신길3동"
서울특별시,영등포구 을,174001,"여의동, 신길1동, 신길4동, 신길5동, 신길6동, 신길7동, 대림1동, 대림2동, 대림3동"
서울특별시,동작구 갑,213646,"노량진1동, 노량진2동, 상도2동, 상도3동, 상도4동, 대방동, 신대방1동, 신대방2동"
서울특별시,동작구 을,188532,"상도1동, 흑석동, 사당1동, 사당2동, 사당3동, 사당4동, 사당5동"
서울특별시,관악구 갑,270025,"보라매동, 청림동, 성현동, 행운동, 낙성대동, 청룡동, 은천동, 중앙동, 인헌동, 남현동, 신림동"
서울특별시,관악구 을,240964,"서원동, 신원동, 서림동, 신사동, 난향동, 조원동, 대학동, 삼성동, 미성동, 난곡동"
서울특별시,서초구 갑,204546,"잠원동, 반포본동, 반포1동, 반포2동, 반포3동, 반포4동, 방배본동, 방배1동, 방배4동"
서울특별시,서초구 을,243404,"서초1동, 서초2동, 서초3동, 서초4동, 방배2동, 방배3동, 양재1동, 양재2동, 내곡동"
서울특별시,강남구 갑,197310,"신사동, 논현1동, 논현2동, 압구정동, 청담동, 역삼1동, 역삼2동"
서울특별시,강남구 을,190351,"개포1동, 개포2동, 개포4동, 세곡동, 일원본동, 일원1동, 일원2동, 수서동"
서울특별시,강남구 병,189921,"삼성1동, 삼성2동, 대치1동, 대치2동, 대치4동, 도곡1동, 도곡2동"
서울특별시,송파구 갑,204386,"풍납1동, 풍납2동, 방이1동, 방이2동, 오륜동, 송파1동, 송파2동, 잠실4동, 잠실6동"
서울특별시,송파구 을,202729,"석촌동, 삼전동, 가락1동, 문정2동, 잠실본동, 잠실2동, 잠실3동, 잠실7동"
서울특별시,송파구 병,255280,"거여1동, 거여2동, 마천1동, 마천2동, 오금동, 가락본동, 가락2동, 문정1동, 장지동, 위례동"
서울특별시,강동구 갑,251455,"강일동, 상일동, 명일1동, 명일2동, 고덕1동, 고덕2동, 암사1동, 암사2동, 암사3동, 길동"
서울특별시,강동구 을,209533,"천호1동, 천호2동, 천호3동, 성내1동, 성내2동, 성내3동, 둔촌1동, 둔촌2동"
부산광역시,중구·영도구,176125,중구·영도구 전역
부산광역시,서구·동구,209013,서구·동구 전역
부산광역시,부산진구 갑,197545,"부전1동, 연지동, 초읍동, 양정1동, 양정2동, 부암1동, 부암3동, 당감1동, 당감2동, 당감4동"
부산광역시,부산진구 을,186988,"부전2동, 전포1동, 전포2동, 가야1동, 가야2동, 개금1동, 개금2동, 개금3동, 범천1동, 범천2동"
부산광역시,동래구,272672,동래구 전역
부산광역시,남구 갑,142181,"대연1동, 대연3동, 대연4동, 대연5동, 대연6동, 문현1동, 문현2동, 문현3동, 문현4동"
부산광역시,남구 을,141941,"용호1동, 용호2동, 용호3동, 용호4동, 용당동, 감만1동, 감만2동, 우암동"
부산광역시,북구·강서구 갑,166940,"북구 구포1동, 구포2동, 구포3동, 덕천1동, 덕천2동, 덕천3동, 만덕1동, 만덕2동, 만덕3동"
부산광역시,북구·강서구 을,232724,"북구 금곡동, 화명1동, 화명2동, 화명3동"
부산광역시,북구·강서구 을,232724,강서구 전역
부산광역시,해운대구 갑,226067,"우1동, 우2동, 우3동, 중1동, 중2동, 좌1동, 좌2동, 좌3동, 좌4동, 송정동"
부산광역시,해운대구 을,196648,"반여1동, 반여2동, 반여3동, 반여4동, 반송1동, 반송2동, 재송1동, 재송2동"
부산광역시,사하구 갑,146960,"괴정1동, 괴정2동, 괴정3동, 괴정4동, 당리동, 하단1동, 하단2동"
