시도명,의석수,선거구,관할구역,변동,인구수
서울특별시,49,종로구,종로구 전 지역,NA,151296
서울특별시,49,중구·성동구 갑,"성동구 마장동, 사근동, 응봉동, 송정동, 용답동, 행당1동, 행당2동, 성수1가1동, 성수1가2동, 성수2가1동, 성수2가3동, 왕십리도선동, 왕십리2동",NA,217842
서울특별시,49,중구·성동구 을,"성동구 금호1가동, 금호2·3가동, 금호4가동, 옥수동 + 중구 전 지역",NA,207715
서울특별시,49,용산구,용산구 전 지역,NA,229623
서울특별시,49,광진구 갑,"광진구 중곡1동, 중곡2동, 중곡3동, 중곡4동, 구의2동, 군자동, 광장동, 능동",NA,179793
서울특별시,49,광진구 을,"광진구 자양1동, 자양2동, 자양3동, 자양4동, 구의1동, 구의3동, 화양동",NA,170817
서울특별시,49,동대문구 갑,"동대문구 휘경1동, 휘경2동, 이문1동, 이문2동, 청량리동, 용신동, 제기동, 회기동",NA,165160
서울특별시,49,동대문구 을,"동대문구 전농1동, 전농2동, 장안1동, 장안2동, 답십리1동, 답십리2동",NA,181003
서울특별시,49,중랑구 갑,"중랑구 상봉2동, 망우3동, 면목본동, 면목2동, 면목4동, 면목5동, 면목3·8동, 면목7동",NA,175556
서울특별시,49,중랑구 을,"중랑구 상봉1동, 망우본동, 중화1동, 중화2동, 신내1동, 신내2동, 묵1동, 묵2동",NA,220352
서울특별시,49,성북구 갑,"성북구 길음1동, 돈암2동, 안암동, 보문동, 정릉1동, 정릉2동, 정릉3동, 정릉4동, 성북동, 삼선동, 동선동",NA,234555
서울특별시,49,성북구 을,"성북구 돈암1동, 길음2동, 종암동, 석관동, 장위1동, 장위2동, 장위3동, 월곡1동, 월곡2동",NA,208048
서울특별시,49,강북구 갑,"강북구 번1동, 번2동, 우이동, 인수동, 수유1동, 수유2동, 수유3동",NA,156283
서울특별시,49,강북구 을,"강북구 번3동, 삼양동, 미아동, 송중동, 송천동, 삼각산동",NA,156685
서울특별시,49,도봉구 갑,"도봉구 쌍문1동, 쌍문3동, 창1동, 창2동, 창3동, 창4동, 창5동",NA,162896
서울특별시,49,도봉구 을,"도봉구 쌍문2동, 쌍문4동, 방학1동, 방학2동, 방학3동, 도봉1동, 도봉2동",NA,168619
서울특별시,49,노원구 갑,"노원구 월계1동, 월계2동, 월계3동, 공릉1동, 공릉2동",NA,160158
서울특별시,49,노원구 을,"노원구 하계1동, 하계2동, 상계6·7동, 중계본동, 중계1동, 중계2·3동, 중계4동",NA,196550
서울특별시,49,노원구 병,"노원구 상계1동, 상계2동, 상계3·4동, 상계5동, 상계8동, 상계9동, 상계10동",NA,174623
서울특별시,49,은평구 갑,"은평구 녹번동, 역촌동, 증산동, 신사1동, 신사2동, 응암1동, 응암2동, 응암3동, 수색동",NA,236540
서울특별시,49,은평구 을,"은평구 구산동, 대조동, 진관동, 갈현1동, 갈현2동, 불광1동, 불광2동",NA,241845
서울특별시,49,서대문구 갑,"서대문구 홍제1동, 홍제2동, 북아현동, 천연동, 충현동, 신촌동, 연희동",NA,148667
서울특별시,49,서대문구 을,"서대문구 홍은1동, 홍은2동, 홍제3동, 남가좌1동, 남가좌2동, 북가좌1동, 북가좌2동",NA,163753
서울특별시,49,마포구 갑,"마포구 아현동, 공덕동, 도화동, 용강동, 대흥동, 염리동, 신수동",NA,157500
서울특별시,49,마포구 을,"마포구 서강동, 서교동, 합정동, 연남동, 상암동, 망원1동, 망원2동, 성산1동, 성산2동",NA,217048
서울특별시,49,양천구 갑,"양천구 신정1동, 신정2동, 신정6동, 신정7동, 목1동, 목2동, 목3동, 목4동, 목5동",NA,252921
서울특별시,49,양천구 을,"양천구 신정3동, 신정4동, 신월1동, 신월2동, 신월3동, 신월4동, 신월5동, 신월6동, 신월7동",NA,203671
서울특별시,49,강서구 갑,"강서구 발산1동, 우장산동, 화곡1동, 화곡2동, 화곡3동, 화곡8동",NA,203177
서울특별시,49,강서구 을,"강서구 가양1동, 가양2동, 등촌3동, 공항동, 방화1동, 방화2동, 방화3동",NA,201044
서울특별시,49,강서구 병,"강서구 등촌1동, 등촌2동, 가양3동, 염창동, 화곡4동, 화곡6동, 화곡본동",NA,185333
서울특별시,49,구로구 갑,"구로구 개봉1동, 개봉2동, 개봉3동, 고척1동, 고척2동, 오류1동, 오류2동, 수궁동, 항동",NA,238812
서울특별시,49,구로구 을,"구로구 구로1동, 구로2동, 구로3동, 구로4동, 구로5동, 신도림동, 가리봉동",NA,167152
서울특별시,49,금천구,금천구 전 지역,NA,232751
서울특별시,49,영등포구 갑,"영등포구 신길3동, 당산1동, 당산2동, 양평1동, 양평2동, 영등포동, 영등포본동, 도림동, 문래동",NA,213665
서울특별시,49,영등포구 을,"영등포구 신길1동, 신길4동, 신길5동, 신길6동, 신길7동, 대림1동, 대림2동, 대림3동, 여의동",NA,158029
서울특별시,49,동작구 갑,"동작구 대방동, 상도2동, 상도3동, 상도4동, 노량진1동, 노량진2동, 신대방1동, 신대방2동",NA,212103
서울특별시,49,동작구 을,"동작구 흑석동, 상도1동, 사당1동, 사당2동, 사당3동, 사당4동, 사당5동",NA,183047
서울특별시,49,관악구 갑,"관악구 청림동, 성현동, 행운동, 청룡동, 은천동, 중앙동, 인헌동, 남현동, 신림동, 보라매동, 낙성대동",NA,268997
서울특별시,49,관악구 을,"관악구 서원동, 신원동, 서림동, 신사동, 난향동, 조원동, 대학동, 삼성동, 미성동, 난곡동",NA,230456
서울특별시,49,서초구 갑,"서초구 잠원동, 방배1동, 방배4동, 방배본동, 반포1동, 반포2동, 반포3동, 반포4동, 반포본동",NA,198810
서울특별시,49,서초구 을,"서초구 내곡동, 방배2동, 방배3동, 서초1동, 서초2동, 서초3동, 서초4동, 양재1동, 양재2동",NA,232128
서울특별시,49,강남구 갑,"강남구 논현1동, 논현2동, 압구정동, 신사동, 역삼1동, 역삼2동, 청담동",NA,192324
서울특별시,49,강남구 을,"강남구 일원1동, 일원2동, 일원본동, 수서동, 개포1동, 개포2동, 개포4동, 세곡동",NA,166628
서울특별시,49,강남구 병,"강남구 삼성1동, 삼성2동, 도곡1동, 도곡2동, 대치1동, 대치2동, 대치4동",NA,186403
