시도명,선거구,후보자,공천_유형,경력,유튜브
서울특별시,종로,이낙연,전략 공천,민선 6기 전남지사45대 국무총리 (2017~2020)16·17·18·19대 국회의원,https://www.youtube.com/channel/UCpPZmot80YDHKd8zm2_evyg
서울특별시,중·성동 갑,홍익표,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UC6ZIJUg_nnbmDj7eyvuLUcA
서울특별시,중·성동 을,박성준,전략 공천,전 JTBC 아나운서팀장,https://www.youtube.com/channel/UCZY4656UKhoMA4IOTnKw4cw
서울특별시,용산,강태웅,전략 공천,전 서울시 부시장,https://www.youtube.com/channel/UCFYL4E_DBJqjQjOKgfH6dPQ
서울특별시,광진 갑,전혜숙,단수 공천,18·20대 국회의원,https://www.youtube.com/channel/UCjrdhTF3ANzbxsgnGc1E7Eg
서울특별시,광진 을,고민정,전략 공천,KBS 한국방송공사 아나운서청와대 대변인 (2019~2020),https://www.youtube.com/channel/UC2Lx2_u4JixQ2WFnWQfIbEQ
서울특별시,동대문 갑,안규백,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UChwmas8xf5M_wnuqN-miupQ
서울특별시,동대문 을,장경태,청년 경선 공천,,https://www.youtube.com/channel/UCOo1TMHUNV0zhBdIo6aN3vg
서울특별시,중랑 갑,서영교,경선 공천,19·20대 국회의원,https://www.youtube.com/channel/UCukAp8j-ElDCmRi76KHQzkQ
서울특별시,중랑 을,박홍근,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCaVYvfVsC1ns3_aE66i6ZIQ
서울특별시,성북 갑,김영배,경선 공천,민선 5·6기 서울 성북구청장,https://www.youtube.com/channel/UCIDxLOL0JV0GwX7qPmadyCQ
서울특별시,성북 을,기동민,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCdlm8BFIld_OakZovZZQ7sA
서울특별시,강북 갑,천준호,경선 공천,민생경제지원단 위원장,https://www.youtube.com/channel/UCvSKdwBLOOqIgpfNrGqq7Wg
서울특별시,강북 을,박용진,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCZE-9tXjvr0TO4i1f-ZpfiQ
서울특별시,도봉 갑,인재근,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCRSeNVi-nLOpk5aaLiLLT3w
서울특별시,도봉 을,오기형,경선 공천,변호사,https://www.youtube.com/channel/UCtvE0aNvn4Kzqmy-rXpFeew
서울특별시,노원 갑,고용진,경선 공천,20대 국회의원,https://www.youtube.com/channel/UC8ChqeOfNmQN63h8NqEnozg
서울특별시,노원 을,우원식,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCHRXeR8AU6dpmwrmXSifK8w
서울특별시,노원 병,김성환,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCVwCEfX77O5aXZSt5wYQO1w
서울특별시,은평 갑,박주민,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCoFvuvMlEPICy1ClmlgzA4g
서울특별시,은평 을,강병원,경선 공천,20대 국회의원,https://www.youtube.com/channel/UCRqhzBrMh6LIn9-LIbFLMEw
서울특별시,서대문 갑,우상호,단수 공천,17·19·20대 국회의원,https://www.youtube.com/channel/UCETI8JGhhtVg0lLI0dRWI1Q
서울특별시,서대문 을,김영호,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCqla28ulqig6sTFAA-zNaog
서울특별시,마포 갑,노웅래,경선 공천,17·19·20대 국회의원,https://www.youtube.com/channel/UCioFshQ7Al1OVcuhWcn8akw
서울특별시,마포 을,정청래,단수 공천,17·19대 국회의원,https://www.youtube.com/channel/UCGrKYDAbwFSUnee4Z50yEhw
서울특별시,양천 갑,황희,단수 공천,20대 국회의원,https://www.youtube.com/channel/UCyAaEPNKA40nIgQJkRal0XA
서울특별시,양천 을,이용선,단수 공천,전 청와대 시민사회수석,https://www.youtube.com/channel/UC4hABUy5DQWJNQvx1B9KGjg
서울특별시,강서 갑,강선우,경선 공천,중앙당 총선기획위원,https://www.youtube.com/channel/UCTDli6TqWf2P-mWuJpFby3w
서울특별시,강서 을,진성준,단수 공천,19대 국회의원,https://www.youtube.com/channel/UCzWEju7x5X_6-rR4eFJnZqw
서울특별시,강서 병,한정애,단수 공천,19·20대 국회의원,https://www.youtube.com/channel/UCB7pLtzKJanTV0M7n9jDrjA
서울특별시,구로 갑,이인영,단수 공천,17·19·20대 국회의원,https://www.youtube.com/user/leeinyoungTV
서울특별시,구로 을,윤건영,전략 공천,전 청와대 국정상황실장,https://www.youtube.com/channel/UC2zuYf2hbVSNw5cRhDeqJMg
서울특별시,금천,최기상,전략 공천,전 서울북부지법 부장판사,https://www.youtube.com/channel/UCngQZDiq2eJv3vma4i_Pa1w
서울특별시,영등포 갑,김영주,단수 공천,전 고용노동부 장관,https://www.youtube.com/channel/UCQTj2pHvchQoLQXjHKuw8mg
서울특별시,영등포 을,김민석,경선 공천,15·16대 국회의원,https://www.youtube.com/channel/UC0xm3nsJXdMEA6ILZRHCXvQ
서울특별시,동작 갑,김병기,경선 공천,20대 국회의원,https://www.youtube.com/channel/UCnhSgVI8pppIgR5_P4n9mJw
서울특별시,동작 을,이수진,전략 공천,전 수원지법 부장판사,https://www.youtube.com/channel/UC9jenXiV9fP7wy122SbkmQA
서울특별시,관악 갑,유기홍,경선 공천,17대 국회의원,https://www.youtube.com/channel/UCOiHNsi9Ej-nf751vaRDwVg
서울특별시,관악 을,정태호,경선 공천,전 청와대 일자리수석,https://www.youtube.com/channel/UCGrIqmBh85ToDm8qthbDKlA
서울특별시,서초 갑,이정근,단수 공천,전 지역위원장,https://www.youtube.com/channel/UCFGH4ZVBwvvttjE9SDMEXwA
서울특별시,서초 을,박경미,경선 공천,20대 국회의원,https://www.youtube.com/channel/UCk4gACsvSKF9_A4-ZjRC6og
서울특별시,강남 갑,김성곤,단수 공천,15·17·18·19대 국회의원,https://www.youtube.com/channel/UCmeprj43wogZWxbGELbYqAA
서울특별시,강남 을,전현희,단수 공천,18대·20대 국회의원,https://www.youtube.com/channel/UCxDSg4ch-i57tzukpLRaxkw
서울특별시,강남 병,김한규,전략 공천,변호사,https://www.youtube.com/channel/UCbSEuksiYgUh7rJmCt_C8sQ
서울특별시,송파 갑,조재희,경선 공천,전 정책기획위원,https://www.youtube.com/channel/UCRzkhBusj7rsXQH0UYNF08w
서울특별시,송파 을,최재성,단수 공천,17·18·19·20대 국회의원,https://www.youtube.com/channel/UCvc8zpWjQ8fa7HXpBQSigSA
서울특별시,송파 병,남인순,단수 공천,19대·20대 국회의원,https://www.youtube.com/channel/UCALlMT1LcJMlCDJ1FGf2mdQ
